months,OSpct,death,Rcensor,n.risk
0.00,100.0,0,0,171
0.14,99.4,1,0,
0.29,98.3,1,0,
0.33,97.6,1,0,
0.42,97.1,1,0,
0.68,96.5,1,0,
0.75,95.9,1,0,
0.82,95.3,1,0,
0.88,94.7,1,0,
1.05,94.2,1,0,
1.11,93.6,1,0,
1.15,93.0,1,0,
1.18,92.4,1,0,
1.47,91.9,1,0,
1.59,91.2,1,0,
1.72,90.6,1,0,
1.85,,0,1,
1.98,,0,1,
2.11,,0,1,
2.14,90.1,1,0,
2.37,89.4,1,0,
2.50,88.3,1,0,
2.86,87.7,1,0,
3.00,,0,0,146
3.13,87.1,1,0,
3.52,86.5,1,0,
3.56,85.8,1,0,
3.59,85.3,1,0,
3.69,84.7,1,0,
3.75,84.1,1,0,
3.88,83.5,1,0,
3.95,82.3,1,0,
3.98,81.7,1,0,
4.24,,0,1,
4.40,,0,1,
4.44,,0,1,
4.47,81.1,1,0,
4.57,,0,1,
4.63,80.5,1,0,
4.70,79.8,1,0,
4.83,79.2,1,0,
4.96,,0,1,
5.04,,0,1,
5.11,78.5,1,0,
5.12,,0,1,
5.31,78.0,1,0,
5.37,77.3,1,0,
5.40,76.7,1,0,
5.55,,0,1,
5.63,,0,1,
5.70,,0,1,
5.73,76.0,1,0,
6.00,,0,0,116
6.02,,0,1,
6.15,,0,1,
6.25,,0,1,
6.28,75.3,1,0,
6.33,,0,1,
6.38,74.7,1,0,
6.48,,0,1,
6.67,74.0,1,0,
6.71,,0,1,
6.75,73.2,1,0,
6.81,72.6,1,0,
6.90,71.9,1,0,
6.97,70.5,1,0,
7.00,,0,1,
7.13,69.8,1,0,
7.17,69.1,1,0,
7.23,,0,1,
7.23,68.4,1,0,
7.49,67.7,1,0,
7.62,,0,1,
7.66,67.0,1,0,
7.79,66.3,1,0,
7.82,65.5,1,0,
7.95,64.8,1,0,
8.09,64.2,1,0,
8.17,,0,1,
8.25,,0,1,
8.32,63.4,1,0,
8.35,62.7,1,0,
8.41,61.9,1,0,
8.48,61.2,1,0,
8.53,60.5,1,0,
8.77,59.7,1,0,
9.00,,0,0,81
9.00,58.2,1,0,
9.23,57.5,1,0,
9.41,56.8,1,0,
9.44,56.1,1,0,
9.70,55.3,1,0,
9.77,54.5,1,0,
9.90,,0,1,
10.36,53.8,1,0,
10.36,,0,1,
10.39,,0,1,
10.49,53.1,1,0,
10.56,52.3,1,0,
10.92,51.5,1,0,
10.94,,0,1,
11.04,50.7,1,0,
11.12,49.9,1,0,
11.30,49.2,1,0,
11.70,48.3,1,0,
12.00,,0,0,62
12.02,46.9,1,0,
12.06,46.0,1,0,
12.35,45.3,1,0,
12.61,44.5,1,0,
12.61,,0,1,
12.65,43.7,1,0,
12.68,,0,1,
12.78,42.9,1,0,
12.91,42.1,1,0,
13.09,41.2,1,0,
13.14,40.5,1,0,
13.17,39.6,1,0,
13.27,,0,1,
13.37,38.8,1,0,
13.48,38.0,1,0,
13.48,,0,1,
13.53,36.3,1,0,
13.56,35.5,1,0,
13.59,34.5,1,0,
13.59,,0,1,
13.66,32.9,1,0,
13.97,32.0,1,0,
14.17,31.2,1,0,
14.53,30.3,1,0,
14.99,29.4,1,0,
15.00,,0,0,34
15.25,28.6,1,0,
15.57,27.7,1,0,
15.74,26.8,1,0,
16.03,26.0,1,0,
16.14,25.1,1,0,
16.14,,0,1,
16.17,24.2,1,0,
16.30,23.3,1,0,
16.62,22.4,1,0,
16.82,21.5,1,0,
17.11,,0,1,
17.18,20.6,1,0,
17.49,19.7,1,0,
17.78,18.8,1,0,
18.00,,0,0,20
18.18,17.8,1,0,
18.51,16.9,1,0,
19.12,15.9,1,0,
19.68,,0,1,
20.14,14.9,1,0,
20.27,14.0,1,0,
20.57,,0,1,
21.00,,0,0,13
22.31,12.9,1,0,
22.78,11.8,1,0,
23.27,9.6,1,0,
23.27,9.6,1,0,
24.00,,0,0,9
24.70,8.6,1,0,
25.41,7.5,1,0,
26.48,,0,1,
26.62,,0,1,
27.00,,0,0,5
27.37,,0,1,
28.48,5.7,1,0,
30.00,,0,0,3
32.49,3.8,1,0,
33.00,,0,0,2
36.00,,0,0,2
39.00,,0,0,2
42.00,,0,0,2
44.90,,0,1,
47.34,,0,1,
